variable,position,label
cs_furtv,58,REASON FOR STOP - FURTIVE MOVEMENTS
rf_rfcmp,59,REASON FOR FRISK - REFUSE TO COMPLY W OFFICER'S DIRECTIONS
ac_cgdir,60,ADDITIONAL CIRCUMSTANCES - CHANGE DIRECTION AT SIGHT OF OFFICER
rf_verbl,61,REASON FOR FRISK - VERBAL THREATS BY SUSPECT
cs_vcrim,62,REASON FOR STOP - ACTIONS OF ENGAGING IN A VIOLENT CRIME
cs_bulge,63,REASON FOR STOP - SUSPICIOUS BULGE
cs_other,64,REASON FOR STOP - OTHER
ac_incid,65,ADDITIONAL CIRCUMSTANCES - AREA HAS HIGH CRIME INCIDENCE
ac_time,66,ADDITIONAL CIRCUMSTANCES - TIME OF DAY FITS CRIME INCIDENCE
rf_knowl,67,REASON FOR FRISK - KNOWLEDGE OF SUSPECT'S PRIOR CRIM BEHAV
ac_stsnd,68,ADDITIONAL CIRCUMSTANCES - SIGHTS OR SOUNDS OF CRIMINAL ACTIVITY
ac_other,69,ADDITIONAL CIRCUMSTANCES - OTHER
sb_hdobj,70,BASIS OF SEARCH - HARD OBJECT
sb_outln,71,BASIS OF SEARCH - OUTLINE OF WEAPON
sb_admis,72,BASIS OF SEARCH - ADMISSION BY SUSPECT
sb_other,73,BASIS OF SEARCH - OTHER
repcmd,74,REPORTING OFFICER'S COMMAND (1 TO 999)
revcmd,75,REVIEWING OFFICER'S COMMAND (1 TO 999)
rf_furt,76,REASON FOR FRISK - FURTIVE MOVEMENTS
rf_bulg,77,REASON FOR FRISK - SUSPICIOUS BULGE
offverb,78,VERBAL STATEMENT PROVIDED BY OFFICER (IF NOT IN UNIFORM)
offshld,79,SHIELD PROVIDED BY OFFICER (IF NOT IN UNIFORM)
forceuse,80,REASON FORCE USED
sex,81,SUSPECT'S SEX
race,82,SUSPECT'S RACE
dob,83,SUSPECT'S DATE OF BIRTH (CCYY-MM-DD)
age,84,SUSPECT'S AGE
ht_feet,85,SUSPECT'S HEIGHT (FEET)
ht_inch,86,SUSPECT'S HEIGHT (INCHES)
weight,87,SUSPECT'S WEIGHT
haircolr,88,SUSPECT'S HAIRCOLOR
eyecolor,89,SUSPECT'S EYE COLOR
build,90,SUSPECT'S BUILD
othfeatr,91,"SUSPECT'S OTHER FEATURES (SCARS, TATOOS ETC.)"
addrtyp,92,LOCATION OF STOP ADDRESS TYPE
rescode,93,LOCATION OF STOP RESIDENT CODE
premtype,94,LOCATION OF STOP PREMISE TYPE
premname,95,LOCATION OF STOP PREMISE NAME
addrnum,96,LOCATION OF STOP ADDRESS NUMBER
stname,97,LOCATION OF STOP STREET NAME
stinter,98,LOCATION OF STOP INTERSECTION
crossst,99,LOCATION OF STOP CROSS STREET
aptnum,100,LOCATION OF STOP APT NUMBER
city,101,LOCATION OF STOP CITY
state,102,LOCATION OF STOP STATE
zip,103,LOCATION OF STOP ZIP CODE
addrpct,104,LOCATION OF STOP ADDRESS PRECINCT
sector,105,LOCATION OF STOP SECTOR
beat,106,LOCATION OF STOP BEAT
post,107,LOCATION OF STOP POST
xcoord,108,LOCATION OF STOP X COORD
ycoord,109,LOCATION OF STOP Y COORD
dettypCM,110,DETAILS TYPES CODE
lineCM,111,COUNT >1 ADDITIONAL DETAILS
detailCM,112,CRIME CODE DESCRIPTION
