field,value,label
detailCM,19,CPSP
detailCM,20,CPW
detailCM,21,CREATING A HAZARD
detailCM,22,CRIMINAL CONTEMPT
detailCM,23,CRIMINAL MISCHIEF
detailCM,24,CRIMINAL POSSESION OF CONTROLLED SUBSTANCE
detailCM,25,CRIMINAL POSSESSION OF COMPUTER MATERIAL
detailCM,26,CRIMINAL POSSESSION OF FORGED INSTRUMENT
detailCM,27,CRIMINAL POSSESSION OF MARIHUANA
detailCM,28,CRIMINAL SALE OF CONTROLLED SUBSTANCE
detailCM,29,CRIMINAL SALE OF MARIHUANA
detailCM,30,CRIMINAL TAMPERING
detailCM,31,CRIMINAL TRESPASS
detailCM,32,CUSTODIAL INTERFERENCE
detailCM,33,EAVES DROPPING
detailCM,34,ENDANGER THE WELFARE OF A CHILD
detailCM,35,ESCAPE
detailCM,36,FALSIFY BUSINESS RECORDS
detailCM,37,FORGERY
detailCM,38,FORGERY OF A VIN
detailCM,39,FORTUNE TELLING
detailCM,40,FRAUD
detailCM,41,FRAUDULENT ACCOSTING
detailCM,42,FRAUDULENT MAKE ELECTRONIC ACCESS DEVICE
detailCM,43,FRAUDULENT OBTAINING A SIGNATURE
detailCM,44,GAMBLING
detailCM,45,GRAND LARCENY
detailCM,46,GRAND LARCENY AUTO
detailCM,47,HARASSMENT
detailCM,48,HAZING
detailCM,49,HINDERING PROSECUTION
detailCM,50,INCEST
detailCM,51,INSURANCE FRAUD
detailCM,52,ISSUE A FALSE CERTIFICATE
detailCM,53,ISSUE A FALSE FINANCIAL STATEMENT
detailCM,54,ISSUING ABORTION ARTICLES
detailCM,55,JOSTLING
detailCM,56,KIDNAPPING
detailCM,57,KILLING OR INJURING A POILCE ANIMAL
detailCM,58,LOITERING
detailCM,59,MAKING GRAFFITI
detailCM,60,MENACING
detailCM,61,MISAPPLICATION OF PROPERTY
detailCM,62,MURDER
detailCM,63,OBSCENITY
detailCM,64,OBSTRUCTING FIREFIGHTING OPERATIONS
detailCM,65,OBSTRUCTING GOVERNMENTAL ADMINISTRATION
detailCM,66,OFFERING A FALSE INSTRUMENT
detailCM,67,OFFICIAL MISCONDUCT
detailCM,68,PETIT LARCENY
detailCM,69,POSSESSION OF BURGLAR TOOLS
detailCM,70,POSSESSION OF EAVES DROPPING DEVICES
detailCM,71,POSSESSION OF GRAFFITI INSTRUMENTS
detailCM,72,PROHIBITED USE OF WEAPON
detailCM,73,PROMOTING SUICIDE
detailCM,74,PROSTITUTION
detailCM,75,PUBLIC DISPLAY OF OFFENSIVE SEXUAL MATERIAL
detailCM,76,PUBLIC LEWDNESS
detailCM,77,RAPE
detailCM,78,RECKLESS ENDANGERMENT
detailCM,79,RECKLESS ENDANGERMENT PROPERTY
detailCM,80,REFUSING TO AID A PEACE OR POLICE OFFICER
detailCM,81,RENT GOUGING
detailCM,82,RESISTING ARREST
detailCM,83,REWARD OFFICIAL MISCONDUCT
detailCM,84,RIOT
detailCM,85,ROBBERY
detailCM,86,SELF ABORTION
detailCM,87,SEXUAL ABUSE
detailCM,88,SEXUAL MISCONDUCT
detailCM,89,SEXUAL PERFORMANCE BY A CHILD
detailCM,90,SODOMY
detailCM,91,SUBSTITUTION OF CHILDREN
detailCM,92,TAMPERING WITH A PUBLIC RECORD
detailCM,93,TAMPERING WITH CONSUMER PRODUCT
detailCM,94,TAMPERING WITH PRIVATE COMMUNICATIONS
detailCM,95,TERRORISM
detailCM,96,THEFT OF SERVICES
detailCM,97,TRADEMARK COUNTERFEITING
detailCM,98,UNLAWFULLY DEALING WITH FIREWORKS
detailCM,99,UNAUTHORIZED RECORDING
detailCM,100,UNAUTHORIZED USE OF A VEHICLE
detailCM,101,UNAUTHORIZED USE OF COMPUTER
detailCM,102,UNLAWFUL ASSEMBLY
detailCM,103,UNLAWFUL DUPLICATION OF COMPUTER MATERIAL
detailCM,104,UNLAWFUL POSSESSION OF RADIO DEVICES
detailCM,105,"UNLAWFUL USE OF CREDIT CARD, DEBIT CARD"
detailCM,106,UNLAWFUL USE OF SECRET SCIENTIFIC MATERIAL
detailCM,107,UNLAWFUL WEARING A BODY VEST
detailCM,108,UNLAWFULL IMPRISONMENT
detailCM,109,UNLAWFULLY DEALING WITH A CHILD
detailCM,110,UNLAWFULLY USE SLUGS
detailCM,111,VEHICULAR ASSAULT
detailCM,112,OTHER
detailCM,113,FORCIBLE TOUCHING
